Shipment_ID,LR_Number,Transport_Company,Vehicle_Number,Driver_Name,Origin,Destination,Dispatch_Date,Material,Package_Count,Weight_KG,Charged_Weight,Freight,Loading_Charges,Unloading_Charges,Total_LR_Amount
S1000,LR-70785,PrimeRoute Carriers,MH12FC3869,Sandeep,Amravati,Jalgaon,2024-02-04,Consumer Goods,107,4071.87,4082.64,26662,506,281,27449
S1001,LR-48605,FastCargo,MH12FB1087,Pravin,Mumbai,Nashik,2024-03-03,Chemical Drums,100,3666.38,3742.02,15155,323,255,15733
S1002,LR-11363,ABC_Logistics,MH12CH7459,Vijay,Kolhapur,Chandrapur,2024-02-22,Construction Material,120,3883.54,4030.51,22203,243,560,23006
S1003,LR-66623,FastCargo,MH12AG9918,Mahesh,Pune,Mumbai,2024-02-13,Machinery,120,3365.88,3418.23,13428,508,383,14319
S1004,LR-88352,MetroCargo Logistics,MH12FA8513,Mahendra,Nashik,Aurangabad,2024-02-26,Machinery,120,4933.3,5074.26,21430,469,352,22251
S1005,LR-95604,ABC_Logistics,MH12AA5830,Santosh,Mumbai,Pune,2024-02-04,Machinery,60,2103.11,2148.0,13796,615,505,14916
S1006,LR-46212,FastCargo,MH12DC6053,Ganesh,Pune,Kolhapur,2024-02-09,Food Products,85,2486.25,2555.67,11088,778,209,12075
S1007,LR-87072,MetroCargo Logistics,MH12AD2104,Sachin,Gondia,Sindhudurg,2024-01-11,Plastic Granules,65,2350.27,2432.85,11379,255,285,11919
S1008,LR-26965,UrbanMove Logistics,MH12FC5241,Mahesh,Wardha,Nashik,2024-02-05,Electronics,74,2087.12,2221.09,11192,735,446,12373
S1009,LR-64757,RapidHaul Logistics,MH12FF7770,Arun,Ratnagiri,Mumbai,2024-01-07,Electronics,64,1830.3,1875.04,11733,716,601,13050
S1010,LR-49349,ExpressHaul Pvt Ltd,MH12EG5283,Ashok,Jalgaon,Osmanabad,2024-03-10,Pharmaceuticals,120,3309.75,3427.3,15208,394,735,16337
S1011,LR-73574,ABC_Logistics,MH12DF7780,Vijay,Ratnagiri,Beed,2024-02-16,Chemical Drums,120,4775.37,4842.92,30260,428,639,31327
S1012,LR-89103,BlueLine Transport,MH12BD2904,Arun,Mumbai,Nashik,2024-02-24,Automotive Parts,37,1353.12,1405.88,7453,225,610,8288
S1013,LR-82115,ABC_Logistics,MH12DE6861,Rajesh,Nashik,Mumbai,2024-02-01,Construction Material,116,4171.61,4317.04,23983,659,765,25407
S1014,LR-81414,ABC_Logistics,MH12CD9059,Shankar,Mumbai,Nashik,2024-02-23,Consumer Goods,120,4611.9,5005.8,22568,701,564,23833
S1015,LR-60760,UrbanMove Logistics,MH12AG6732,Anil,Ratnagiri,Mumbai,2024-02-29,Food Products,53,1138.22,1207.59,8167,691,650,9508
S1016,LR-93567,PrimeRoute Carriers,MH12CF6992,Ramesh,Nashik,Mumbai,2024-01-31,Food Products,64,1856.66,1930.97,12449,354,300,13103
S1017,LR-31234,BlueLine Transport,MH12HB7637,Santosh,Pune,Nashik,2024-02-26,Consumer Goods,40,1553.4,1677.06,7087,449,219,7755
S1018,LR-44155,PrimeRoute Carriers,MH12HG2022,Arun,Nashik,Mumbai,2024-01-15,Food Products,120,4156.0,4296.08,25549,688,618,26855
S1019,LR-39548,MetroCargo Logistics,MH12GA1393,Manoj,Dhule,Jalgaon,2024-02-22,Automotive Parts,120,4115.71,4195.88,19456,394,328,20178
S1020,LR-47689,FastCargo,MH12DB2836,Naresh,Amravati,Ratnagiri,2024-03-08,Chemical Drums,120,4848.34,4991.46,27606,201,396,28203
S1021,LR-71800,BlueLine Transport,MH12HF4468,Suresh,Mumbai,Pune,2024-03-05,Construction Material,24,1214.37,1252.65,7463,397,783,8643
S1022,LR-80645,BlueLine Transport,MH12DG8854,Naresh,Parbhani,Dhule,2024-01-22,Construction Material,120,2612.18,2664.8,14581,415,701,15697
S1023,LR-66639,ABC_Logistics,MH12AE7700,Manoj,Satara,Bhandara,2024-01-26,Food Products,120,4663.73,4784.87,30444,538,657,31639
S1024,LR-64150,FastCargo,MH12FG7618,Rahul,Chandrapur,Pune,2024-03-07,Chemical Drums,84,2433.57,3026.2,11094,690,595,12379
S1025,LR-30608,FastCargo,MH12AB4573,Sanjay,Sindhudurg,Beed,2024-03-03,Machinery,120,4207.13,4341.91,18183,568,653,19404
S1026,LR-91692,ABC_Logistics,MH12FG5437,Suresh,Yavatmal,Sindhudurg,2024-03-09,Electronics,108,4048.0,4117.17,24161,585,267,25013
S1027,LR-82882,FastCargo,MH12HE4422,Mahesh,Pune,Kolhapur,2024-02-27,Electronics,82,2330.23,2459.89,10239,586,511,11336
S1028,LR-19940,ABC_Logistics,MH12GB3071,Ganesh,Pune,Mumbai,2024-03-01,Steel Coils,87,3001.68,3004.2,18165,664,713,19542
S1029,LR-23374,BlueLine Transport,MH12BD9043,Deepak,Pune,Kolhapur,2024-03-04,Machinery,120,4452.88,4546.05,20701,557,447,21705
S1030,LR-68389,ABC_Logistics,MH12ED8680,Manoj,Pune,Nashik,2024-03-06,Chemical Drums,65,1094.71,1172.86,7038,399,446,7883
S1031,LR-89046,RapidHaul Logistics,MH12CG3667,Rajesh,Pune,Nashik,2024-01-16,Pharmaceuticals,67,2392.34,2436.74,15885,559,654,17098
